KMT kmt NN N:0 U:3 L:0 A:3 __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:AAA P2:aaa P3:A P4:a K KM KMT __nil__ __nil__ T MT KMT __nil__ __nil__ O
2 2 CD N:1 U:0 L:0 A:1 __nil__ __nil__ __nil__ __nil__ -Base- __nil__ __nil__ __nil__ __nil__ __nil__ P1:0 P2:0 P3:0 P4:0 2 __nil__ __nil__ __nil__ __nil__ 2 __nil__ __nil__ __nil__ __nil__ O
A a DT N:0 U:1 L:0 A:1 __nil__ __nil__ __nil__ __nil__ -Base- __nil__ __nil__ -DNASym- -ProteinSymChar- __nil__ P1:A P2:a P3:A P4:a A __nil__ __nil__ __nil__ __nil__ A __nil__ __nil__ __nil__ __nil__ O
r r NN N:0 U:0 L:1 A:1 __nil__ __nil__ __nil__ __nil__ __nil__ -Type1- __nil__ __nil__ __nil__ __nil__ P1:a P2:a P3:a P4:a r __nil__ __nil__ __nil__ __nil__ r __nil__ __nil__ __nil__ __nil__ O
) ) ) N:0 U:0 L:0 A:1 -SpecificC2- __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:) P2:) P3:) P4:) ) __nil__ __nil__ __nil__ __nil__ ) __nil__ __nil__ __nil__ __nil__ O
or or CC N:0 U:0 L:2 A:2 __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:aa P2:aa P3:a P4:a o or __nil__ __nil__ __nil__ r or __nil__ __nil__ __nil__ O
mutation mutat NN N:0 U:0 L:4+ A:4+ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:aaaaaaaa P2:aaaaaaaa P3:a P4:a m mu mut muta mutat n on ion tion ation O
of of IN N:0 U:0 L:2 A:2 __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:aa P2:aa P3:a P4:a o of __nil__ __nil__ __nil__ f of __nil__ __nil__ __nil__ O
the the DT N:0 U:0 L:3 A:3 __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:aaa P2:aaa P3:a P4:a t th the __nil__ __nil__ e he the __nil__ __nil__ O
nucleophosmin nucleophosmin NN N:0 U:0 L:4+ A:4+ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:aaaaaaaaaaaaa P2:aaaaaaaaaaaaa P3:a P4:a n nu nuc nucl nucle n in min smin osmin O
gene gene NN N:0 U:0 L:4+ A:4+ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:aaaa P2:aaaa P3:a P4:a g ge gen gene __nil__ e ne ene gene __nil__ O
( ( ( N:0 U:0 L:0 A:1 -SpecificC2- __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:( P2:( P3:( P4:( ( __nil__ __nil__ __nil__ __nil__ ( __nil__ __nil__ __nil__ __nil__ O
NPM npm NNP N:0 U:3 L:0 A:3 __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:AAA P2:aaa P3:A P4:a N NP NPM __nil__ __nil__ M PM NPM __nil__ __nil__ O
1 1 CD N:1 U:0 L:0 A:1 __nil__ __nil__ __nil__ __nil__ -Base- __nil__ __nil__ __nil__ __nil__ __nil__ P1:0 P2:0 P3:0 P4:0 1 __nil__ __nil__ __nil__ __nil__ 1 __nil__ __nil__ __nil__ __nil__ O
) ) ) N:0 U:0 L:0 A:1 -SpecificC2- __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ __nil__ P1:) P2:) P3:) P4:) ) __nil__ __nil__ __nil__ __nil__ ) __nil__ __nil__ __nil__ __nil__ O
